uri,label_zh,label_en,label_es,label_fr,broader_links
http://aims.fao.org/aos/agrovoc/c_16375,照片判读,photointerpretation,Fotointerpretación,photo-interprétation,0
http://aims.fao.org/aos/agrovoc/c_36761,卫星图,satellite imagery,Imágen por satélite,imagerie par satellite,0
http://aims.fao.org/aos/agrovoc/c_36764,磁共振成像,magnetic resonance imaging,Imágenes por resonancia magnética,imagerie par résonance magnétique,0
http://aims.fao.org/aos/agrovoc/c_36765,多谱线图像,multispectral imagery,Imagen multiespectral,imagerie multispectrale,0
http://aims.fao.org/aos/agrovoc/c_330749,播种方法,sowing methods,Método de siembra,méthode d'ensemencement,0
http://aims.fao.org/aos/agrovoc/c_330810,种植方法,planting methods,Método de plantación,méthode de plantation,0
http://aims.fao.org/aos/agrovoc/c_330972,调查方法,survey methods,Método de encuesta,méthode du relevé,0
http://aims.fao.org/aos/agrovoc/c_330976,测试,tests,Prueba,test,0
http://aims.fao.org/aos/agrovoc/c_12111,产蛋测验,laying tests,Prueba de puesta,épreuve de ponte,0
http://aims.fao.org/aos/agrovoc/c_13136,亲权认定,paternity tests,Prueba de paternidad,épreuve de paternité,0
http://aims.fao.org/aos/agrovoc/c_16773,肝功能试验,liver function tests,Prueba de función hepática,épreuve fonctionnelle du foie,0
http://aims.fao.org/aos/agrovoc/c_29665,皮肤试验,skin tests,Prueba cutánea,test cutané,0
http://aims.fao.org/aos/agrovoc/c_331045,烹饪方法,cooking methods,Método de cocina,mode de cuisson,0
http://aims.fao.org/aos/agrovoc/c_988,煮沸,boiling,Ebullición,cuisson à l'eau,0
http://aims.fao.org/aos/agrovoc/c_989,沸点,boiling point,Punto de ebullición,point d'ébullition,0
http://aims.fao.org/aos/agrovoc/c_37314,放晶种,seeding (sugar),Adición de cristales semilla (azúcar),ensemencement (sucre),0
http://aims.fao.org/aos/agrovoc/c_7498,糖,sugar,Azúcar,sucre,0
http://aims.fao.org/aos/agrovoc/c_3132,油炸,frying,Fritura,friture,0
http://aims.fao.org/aos/agrovoc/c_6623,烘烤,roasting,Tostado,rôtissage,0
http://aims.fao.org/aos/agrovoc/c_9391,焖,braising,Braseado,braisage,0
http://aims.fao.org/aos/agrovoc/c_9436,烤,broiling,Asando (con fuego desde arriba),cuisson au grilloir,0
http://aims.fao.org/aos/agrovoc/c_14299,慢炖,simmering,Cocción a fuego lento,mijotage,0
http://aims.fao.org/aos/agrovoc/c_14587,炖,stewing,Guiso,ragoût,0
http://aims.fao.org/aos/agrovoc/c_16207,挤压蒸煮,extrusion cooking,Cocción extrusión,cuisson extrusion,0
http://aims.fao.org/aos/agrovoc/c_26799,微波烹饪,microwave cooking,Cocinado por microondas,cuisson micro-ondes,0
http://aims.fao.org/aos/agrovoc/c_35870,焙烧,toasting,Tostado (proceso),grillage,0
http://aims.fao.org/aos/agrovoc/c_50130,烧烤,grilling,Cocinado a la parrilla,grillade,0
http://aims.fao.org/aos/agrovoc/c_1375281890023,传统方法,traditional methods,Método tradicional,méthode traditionnelle,0
http://aims.fao.org/aos/agrovoc/c_330694,传统预煮方法,traditional parboiling methods,Método de escaldado tradicional,méthode traditionnelle d'étuvage,0
http://aims.fao.org/aos/agrovoc/c_6211,产品,products,Producto,produit,0
http://aims.fao.org/aos/agrovoc/c_438,动物产品,animal products,Producto de origen animal,produit animal,0
http://aims.fao.org/aos/agrovoc/c_29107,动物制品,processed animal products,Producto de animal procesado,produit animal transformé,0
http://aims.fao.org/aos/agrovoc/c_36642,生物产品,biologically grown products,Producto cultivado biológicamente,produit biologique,0
http://aims.fao.org/aos/agrovoc/c_1310,胴体,carcasses,Canal animal,carcasse,0
http://aims.fao.org/aos/agrovoc/c_4669,肉,meat,Carne,viande,0
http://aims.fao.org/aos/agrovoc/c_4672,切块肉,meat cuts,Pieza de carne,pièce de viande,0
http://aims.fao.org/aos/agrovoc/c_7106,屠宰重量,slaughter weight,Peso en matadero,poids à l'abattage,0
http://aims.fao.org/aos/agrovoc/c_5324,内脏,offal,Menudo,abats,0
http://aims.fao.org/aos/agrovoc/c_6403,四分之一胴体,quarters,Cuarto de la canal,quartier,0
http://aims.fao.org/aos/agrovoc/c_7056,一侧胴体,sides,Media canal,demi-carcasse,0
http://aims.fao.org/aos/agrovoc/c_16168,胴体组分,carcass composition,Composición de la canal,composition de la carcasse,0
http://aims.fao.org/aos/agrovoc/c_37725,去脂肪体重,lean body mass,Masa corporal delgada,masse maigre de l'organisme,0
http://aims.fao.org/aos/agrovoc/c_2502,蛋,eggs,Huevo,oeuf,0
http://aims.fao.org/aos/agrovoc/c_2499,蛋制品,egg products,Producto derivado del huevo,ovoproduit,0
http://aims.fao.org/aos/agrovoc/c_3032,食品,foods,Alimento,produit alimentaire,0
http://aims.fao.org/aos/agrovoc/c_2501,蛋黄,egg yolk,Yema de huevo,jaune d'oeuf,0
http://aims.fao.org/aos/agrovoc/c_10549,蛋清,egg white,Clara de huevo,blanc d'oeuf,0
http://aims.fao.org/aos/agrovoc/c_14249,无壳卵,shell-less eggs,Huevo sin cáscara,oeuf sans coquille,0
http://aims.fao.org/aos/agrovoc/c_14387,软壳卵,soft shelled eggs,Huevo de cáscara blanda,oeuf à carapace molle,0
http://aims.fao.org/aos/agrovoc/c_2500,卵壳,egg shell,Cáscara de huevo,coquille d'oeuf,0
http://aims.fao.org/aos/agrovoc/c_3655,蜂产品,hive products,Producto de la colmena,produit de la ruche,0
http://aims.fao.org/aos/agrovoc/c_866,蜂蜡,beeswax,Cera de abeja,cire d'abeille,0
http://aims.fao.org/aos/agrovoc/c_3652,蜂蜜,honey,Miel,miel,0
http://aims.fao.org/aos/agrovoc/c_15919,蜂胶,propolis,Propóleo,propolis,0
http://aims.fao.org/aos/agrovoc/c_6519,树脂,resins,Resina,résine,0
http://aims.fao.org/aos/agrovoc/c_26817,蜂王浆,royal jelly,Jalea real,gelée royale,0
http://aims.fao.org/aos/agrovoc/c_29026,蜂巢提取物,honeycomb extracts,Extracto del panal de miel,extrait de nid d'abeille,0
http://aims.fao.org/aos/agrovoc/c_12459,肉质,meat quality,Calidad de la carne,qualité de la viande,0
http://aims.fao.org/aos/agrovoc/c_861,牛肉,beef,Carne de res,viande bovine,0
http://aims.fao.org/aos/agrovoc/c_9038,小牛肉,baby beef,Añojo,baby beef,0
http://aims.fao.org/aos/agrovoc/c_8163,犊牛肉,veal,Carne de ternera,viande de veau,0
http://aims.fao.org/aos/agrovoc/c_3183,野味肉,game meat,Carne de animales de caza,viande de gibier,0
http://aims.fao.org/aos/agrovoc/c_15145,鹿肉,venison,Carne de venado,venaison,0
http://aims.fao.org/aos/agrovoc/c_92331,野味,bushmeat,Carne de caza,viande de brousse,0
http://aims.fao.org/aos/agrovoc/c_4162,羔羊肉,lamb meat,Carne de cordero,viande d'agneau,0
http://aims.fao.org/aos/agrovoc/c_1587,排骨,chops,Chuleta,côtelette,0
http://aims.fao.org/aos/agrovoc/c_2897,肉片,fillets,Filete,filet,0
http://aims.fao.org/aos/agrovoc/c_4254,腿肉,legs (meat),Corvejón (carne),jarret,0
http://aims.fao.org/aos/agrovoc/c_4421,腰肉,loins,Lomo,longe,0
http://aims.fao.org/aos/agrovoc/c_7047,肩胛肉,shoulders,Espalda,épaule,0
http://aims.fao.org/aos/agrovoc/c_7380,肉排,steaks,Bistec,steak,0
http://aims.fao.org/aos/agrovoc/c_11912,关节(肉),joints (meat),Articulación (carne),morceau de viande,0
http://aims.fao.org/aos/agrovoc/c_5015,羊肉,mutton,Carne de carnero,viande ovine,0
http://aims.fao.org/aos/agrovoc/c_6120,猪肉,pork,Carne de cerdo,viande porcine,0
http://aims.fao.org/aos/agrovoc/c_6147,禽肉,poultry meat,Carne de ave,viande de volaille,0
http://aims.fao.org/aos/agrovoc/c_24000,鸡肉,chicken meat,Carne de pollo,viande de poulet,0
http://aims.fao.org/aos/agrovoc/c_24021,鸭肉,duck meat,Carne de pato,viande de canard,0
http://aims.fao.org/aos/agrovoc/c_24034,鹅肉,goose meat,Carne de ganso,viande d'oie,0
http://aims.fao.org/aos/agrovoc/c_24096,火鸡肉,turkey meat,Carne de pavo,viande de dinde,0
http://aims.fao.org/aos/agrovoc/c_9794,冷却肉,chilled meat,Carne refrigerada,viande réfrigérée,0
http://aims.fao.org/aos/agrovoc/c_15896,黑硬干肉,DFD meat,Carne dfd,viande à coupe sombre,0
http://aims.fao.org/aos/agrovoc/c_15920,苍白松软有渗出液瘦肉,PSE meat,Carne pse,viande exsudative,0
http://aims.fao.org/aos/agrovoc/c_15978,山羊肉,goat meat,Carne de cabra,viande caprine,0
http://aims.fao.org/aos/agrovoc/c_15983,马肉,horse meat,Carne de caballo,viande chevaline,0
http://aims.fao.org/aos/agrovoc/c_16026,兔肉,rabbit meat,Carne de conejo,viande de lapin,0
http://aims.fao.org/aos/agrovoc/c_23996,水牛肉,buffalo meat,Carne de búfalo,viande de buffle,0
http://aims.fao.org/aos/agrovoc/c_23998,骆驼肉,camel meat,Carne de camello,viande de chameau,0
http://aims.fao.org/aos/agrovoc/c_33469,剔骨肉,deboned meat,Carne deshuesada,viande désossée,0
http://aims.fao.org/aos/agrovoc/c_33471,机械剔骨肉,mechanically deboned meat,Carne deshuesada mecanicamente,viande désossée mécaniquement,0
http://aims.fao.org/aos/agrovoc/c_4826,乳,milk,Leche,lait,0
http://aims.fao.org/aos/agrovoc/c_4828,乳脂,milk fat,Grasa de la leche,matière grasse du lait,0
http://aims.fao.org/aos/agrovoc/c_4374,鲜奶,liquid milk,Leche líquida,lait boisson,0
http://aims.fao.org/aos/agrovoc/c_1772,初乳,colostrum,Calostro,colostrum,0
http://aims.fao.org/aos/agrovoc/c_15364,全脂乳,whole milk,Leche entera,lait entier,0
http://aims.fao.org/aos/agrovoc/c_16076,水牛乳,buffalo milk,Leche de búfala,lait de bufflesse,0
